     x       exp(x)
0.007167 0.007162 0.007153
0.007145 0.007142 0.007127
0.007122 0.007125 0.007105
0.007109 0.007097 0.007093
0.007085 0.007080 0.007074
0.007070 0.007067 0.007059
0.007064 0.007062 0.007060
0.007061 0.007061 0.007063
0.007064 0.007070 0.007069
0.007076 0.007087 0.007081
0.007099 0.007104 0.007111
0.007119 0.007127 0.007135
0.007143 0.007153 0.007158
0.007171 0.007176 0.007179
0.007200 0.007198 0.007208
0.007217 0.007219 0.007225
0.007227 0.007231 0.007231
0.007235 0.007231 0.007230
0.007237 0.007223 0.007225
0.007226 0.007214 0.007212
0.007202 0.007196 0.007186
0.007179 0.007166 0.007158
0.007151 0.007131 0.007131
0.007121 0.007105 0.007104
0.007089 0.007082 0.007072
0.007065 0.007056 0.007052
0.007042 0.007037 0.007042
0.007033 0.007034 0.007031
0.007032 0.007032 0.007036
0.007039 0.007039 0.007052
0.007053 0.007058 0.007080
0.007078 0.007094 0.007100
0.007113 0.007122 0.007135
0.007145 0.007157 0.007173
0.007175 0.007193 0.007210
0.007210 0.007231 0.007234
0.007244 0.007249 0.007257
0.007260 0.007265 0.007269
0.007265 0.007271 0.007271
0.007266 0.007264 0.007257
0.007252 0.007242 0.007236
0.007223 0.007210 0.007207
0.007186 0.007175 0.007171
0.007149 0.007141 0.007123
0.007111 0.007095 0.007084
0.007068 0.007057 0.007048
0.007028 0.007029 0.007018
0.007008 0.007008 0.006999
0.006996 0.006993 0.006992
0.006991 0.006996 0.006995
0.007001 0.007014 0.007010
0.007029 0.007038 0.007048
0.007062 0.007074 0.007088
0.007103 0.007119 0.007132
0.007152 0.007165 0.007177
0.007206 0.007213 0.007231
0.007247 0.007259 0.007272
0.007282 0.007293 0.007300
0.007310 0.007311 0.007313
0.007325 0.007314 0.007316
0.007320 0.007307 0.007304
0.007292 0.007283 0.007269
